time,pkg_pwr,ram_pwr
620,40.24,5.08
621,40.05,5.02
622,40.08,5.01
623,40.30,5.42
624,40.26,5.13
625,40.11,5.02
626,40.02,4.98
627,40.08,4.99
628,40.35,5.37
629,40.37,5.15
630,40.28,5.06
631,40.20,4.96
632,40.28,4.95
633,40.31,5.29
634,40.30,5.18
635,40.25,5.03
636,40.28,5.05
637,40.28,5.05
638,40.22,5.40
639,40.32,5.27
640,40.42,5.05
641,40.38,4.99
642,40.38,5.01
643,40.38,5.33
644,40.22,5.17
645,40.23,4.97
646,40.24,5.02
647,40.34,5.15
648,40.19,5.45
649,40.16,5.09
650,40.19,5.10
651,40.41,5.07
652,40.39,4.94
653,40.17,5.36
654,40.15,5.14
655,40.16,5.00
656,40.11,4.95
657,40.27,5.07
658,40.50,5.37
659,40.51,5.13
660,40.10,4.98
661,40.11,4.97
662,40.30,5.07
663,40.38,5.46
664,40.27,5.22
665,40.21,5.04
666,40.19,5.08
667,40.23,5.19
668,40.25,5.40
669,40.18,5.13
670,40.16,5.00
671,40.22,5.67
672,40.30,5.15
673,40.25,5.43
674,40.04,5.10
675,40.08,5.10
676,40.09,5.01
677,40.07,4.93
678,40.09,5.50
679,40.11,5.14
680,40.09,5.06
681,40.03,5.08
682,40.07,5.10
683,40.28,5.48
684,40.24,5.21
685,40.28,5.11
686,40.33,5.01
687,40.42,4.95
688,40.54,5.34
689,40.58,5.09
690,40.58,4.97
691,40.58,4.98
692,40.41,5.03
693,40.44,5.28
694,40.40,5.12
695,40.39,4.97
696,40.30,5.18
697,40.14,5.07
698,40.19,5.41
699,40.50,5.28
700,40.44,5.03
701,40.30,5.09
702,40.25,4.98
703,40.25,5.36
704,40.18,5.12
705,40.22,4.98
706,40.23,5.11
707,40.22,5.01
708,40.23,5.39
709,40.23,5.16
710,40.23,5.04
711,40.30,5.02
712,40.27,5.00
713,40.31,5.36
714,40.29,5.15
715,40.31,5.05
716,40.30,5.04
717,40.19,4.97
718,40.16,5.39
719,40.14,5.16
