time,pkg_pwr,ram_pwr
760,39.92,6.55
761,39.68,6.00
762,40.27,7.09
763,40.18,6.92
764,40.13,6.72
765,38.24,6.93
766,40.24,6.79
767,39.89,6.50
768,40.22,7.01
769,40.00,6.53
770,39.96,6.50
771,39.87,6.40
772,40.22,7.04
773,39.83,6.42
774,39.87,6.45
775,40.01,6.67
776,40.08,6.86
777,39.93,6.42
778,39.95,6.36
779,40.26,6.94
780,39.94,6.55
781,39.93,6.47
782,39.90,6.31
783,40.24,7.04
784,39.88,6.39
785,39.90,6.46
786,39.66,5.90
787,40.23,7.07
788,39.88,6.41
789,39.81,6.41
790,40.06,6.71
791,40.12,6.83
792,39.89,6.45
793,39.93,6.43
794,40.12,6.80
795,39.95,6.56
796,39.93,6.41
797,39.92,6.34
798,40.10,7.01
799,39.86,6.39
800,39.90,6.46
801,39.72,6.20
802,40.21,7.04
803,39.87,6.36
804,39.85,6.36
805,39.90,6.56
806,40.22,7.03
807,39.90,6.37
808,39.90,6.40
809,39.94,6.59
810,40.08,6.85
811,39.88,6.42
812,39.84,6.39
813,39.97,6.61
814,40.00,6.65
815,39.90,6.50
816,39.85,6.44
817,40.07,6.79
818,40.05,6.58
819,39.93,6.42
820,39.94,6.48
821,39.44,5.33
822,40.30,7.10
823,39.93,6.41
824,39.93,6.38
825,39.74,6.18
826,40.24,7.11
827,39.90,6.34
828,39.87,6.44
829,36.30,6.56
830,40.31,7.12
831,40.12,6.77
832,39.07,6.78
833,40.36,7.00
834,40.19,6.76
835,35.82,6.55
836,40.39,7.08
837,40.20,6.73
838,36.96,6.58
839,40.33,7.09
840,40.13,6.79
841,36.73,6.61
842,40.39,7.08
843,40.14,6.75
844,38.87,6.81
845,40.28,6.94
846,40.12,6.76
847,37.39,6.70
848,40.14,6.95
849,40.10,6.78
850,38.18,6.85
851,40.23,6.95
852,40.13,6.73
853,38.25,6.77
854,40.22,6.92
855,40.10,6.77
856,30.46,5.86
857,39.39,7.20
858,40.15,6.71
859,37.17,6.49
860,40.24,7.15
861,40.18,6.75
862,37.60,6.56
863,40.43,7.10
864,40.20,6.72
865,36.72,6.41
866,38.44,7.19
867,40.23,6.74
868,40.30,6.62
869,38.20,6.98
870,40.21,6.75
871,40.24,6.74
872,34.99,6.76
873,40.25,6.83
874,40.25,6.89
875,38.98,6.78
876,40.62,7.30
877,40.12,6.77
878,40.16,6.75
879,38.38,6.94
