time,pkg_pwr,ram_pwr
787,41.70,8.60
788,41.70,8.52
789,41.37,8.30
790,40.85,7.77
791,40.51,7.50
792,39.98,7.02
793,39.92,6.94
794,39.95,6.93
795,39.91,6.94
796,39.98,7.04
797,40.00,7.03
798,39.92,7.13
799,39.93,7.10
800,39.86,7.04
801,39.96,7.07
802,39.96,7.04
803,39.95,7.20
804,39.81,7.29
805,39.93,7.50
806,39.90,7.84
807,40.10,7.96
808,40.13,8.14
809,40.15,8.28
810,40.18,8.17
811,40.21,8.25
812,40.22,8.25
813,40.19,8.26
814,40.17,8.20
815,40.13,8.20
816,40.12,8.26
817,40.21,8.22
818,40.15,8.27
819,40.14,8.22
820,40.20,8.24
821,40.18,8.21
822,40.19,8.25
823,40.09,8.22
824,40.16,8.18
825,40.12,8.23
826,40.21,8.23
827,40.29,8.24
828,40.28,8.23
829,40.25,8.20
830,40.17,8.22
831,40.17,8.17
832,40.27,8.19
833,40.21,8.30
834,40.21,8.20
835,40.22,8.26
836,40.24,8.27
837,40.26,8.24
838,40.24,8.21
839,40.32,8.21
840,40.36,8.22
841,40.26,8.19
842,40.30,8.28
843,40.23,8.22
844,40.27,8.19
845,40.18,8.20
846,40.24,8.23
847,40.20,8.22
848,40.28,8.24
849,40.18,8.19
850,40.15,8.28
851,40.22,8.20
852,40.22,8.19
853,40.20,8.22
854,40.20,8.12
855,40.15,8.23
856,40.13,8.20
857,40.14,8.26
858,40.14,8.27
859,40.13,8.17
860,40.14,8.16
861,40.09,8.22
862,40.11,8.18
863,40.08,8.23
864,40.11,8.16
865,40.12,8.24
866,40.20,8.24
867,40.23,8.23
868,40.20,8.22
869,40.14,8.16
870,40.10,8.17
871,40.16,8.22
872,40.17,8.21
873,40.19,8.24
874,40.29,8.24
875,40.30,8.23
876,40.30,8.23
877,40.21,8.25
878,40.23,8.28
879,40.15,8.21
880,40.26,8.14
881,40.26,8.20
882,40.30,8.30
883,40.26,8.23
884,40.36,8.20
885,40.35,8.22
886,40.20,8.18
887,40.13,8.27
888,40.12,8.21
889,40.17,8.16
890,40.20,8.22
891,40.29,8.22
892,40.26,8.19
893,40.30,8.27
894,40.25,8.15
895,40.29,8.26
896,40.24,8.21
897,40.17,8.21
898,40.25,8.27
899,40.14,8.18
900,40.13,8.23
901,40.24,8.21
902,40.16,8.23
903,40.22,8.24
904,40.13,8.20
905,40.19,8.21
906,40.29,8.18
907,40.22,8.25
908,39.80,7.89
909,40.30,6.81
910,40.06,6.66
911,40.12,7.04
912,40.11,7.06
913,40.35,7.17
914,39.96,6.97
915,39.92,6.92
916,40.02,7.00
917,39.89,6.89
918,40.05,6.92
919,40.16,7.00
920,40.07,7.00
921,40.01,6.91
922,40.17,7.06
923,40.02,7.07
924,40.22,7.20
925,40.57,7.41
926,40.08,6.93
927,39.92,6.85
928,40.21,6.93
929,40.27,7.14
930,40.11,6.82
931,40.40,7.06
932,40.35,7.22
933,40.30,7.12
934,40.51,7.24
935,40.35,7.21
936,40.42,7.24
937,40.64,7.31
938,40.50,7.30
939,40.37,7.20
940,40.55,7.33
941,40.45,7.28
942,40.36,7.21
943,40.56,7.29
944,40.42,7.31
945,40.40,7.36
946,40.56,7.43
947,40.49,7.26
948,40.47,7.26
949,40.37,7.09
950,40.21,7.00
951,40.12,7.00
952,40.24,7.05
953,40.19,6.99
954,39.99,6.94
955,40.06,7.02
956,39.93,7.01
957,40.06,7.11
958,40.35,7.36
959,40.15,7.11
960,40.07,7.06
961,40.12,7.09
962,40.02,7.20
963,40.00,7.10
964,40.17,7.12
965,40.09,7.12
966,39.98,7.01
967,40.17,7.09
968,40.16,7.09
969,40.19,7.00
970,40.16,6.96
971,40.01,6.91
972,39.95,6.88
973,40.16,7.02
974,40.04,6.88
975,39.88,6.81
976,39.97,6.90
977,39.93,6.93
978,39.91,6.96
979,40.04,6.98
980,39.93,6.91
981,39.92,6.96
982,39.98,6.96
983,39.88,6.95
984,39.98,6.97
985,40.02,6.99
986,39.97,6.94
987,39.94,7.00
988,40.13,6.97
989,40.06,6.96
990,40.14,6.96
991,40.14,6.97
992,39.99,6.96
993,40.07,7.01
994,40.11,7.06
995,40.02,7.02
996,40.06,7.05
997,40.02,6.95
998,39.88,6.93
999,39.89,6.93
1000,39.83,6.90
1001,39.80,6.91
1002,39.81,6.90
1003,39.76,6.88
1004,39.88,7.00
1005,39.86,7.03
1006,39.90,6.98
1007,39.91,7.04
1008,39.88,7.03
1009,40.03,7.07
1010,40.00,7.14
1011,39.99,7.18
1012,39.99,7.11
1013,40.06,7.23
1014,40.04,7.17
1015,40.05,7.10
1016,40.15,7.18
1017,40.12,7.23
1018,40.16,7.18
1019,40.18,7.16
1020,40.14,7.12
1021,40.16,7.12
1022,40.27,7.14
1023,40.19,7.13
1024,40.07,7.11
1025,40.27,7.16
1026,40.16,7.19
1027,40.10,7.11
1028,40.18,7.19
1029,40.11,7.15
1030,40.09,7.12
1031,40.20,7.10
1032,40.07,7.07
1033,40.10,7.05
1034,40.13,7.07
1035,40.09,7.06
1036,40.05,6.99
1037,40.11,7.00
1038,40.06,6.93
1039,40.02,6.95
1040,40.22,7.03
1041,40.12,7.00
1042,40.09,6.93
1043,40.25,7.01
1044,40.17,6.99
1045,40.07,6.96
1046,40.09,6.98
1047,40.02,6.95
1048,40.04,6.91
1049,40.20,6.99
1050,40.08,6.95
1051,40.04,6.93
1052,40.15,6.89
1053,40.08,6.85
1054,40.10,6.91
1055,40.29,7.00
1056,40.20,7.02
1057,40.14,6.96
1058,40.26,7.10
1059,40.20,7.11
1060,40.11,7.03
1061,40.13,7.04
1062,40.12,7.05
1063,40.08,6.93
1064,40.28,7.05
1065,40.13,7.06
1066,40.01,6.92
1067,40.11,7.10
1068,40.12,7.11
1069,40.03,7.12
1070,40.23,7.21
1071,40.17,7.17
1072,40.14,7.12
1073,40.13,7.20
1074,40.00,7.18
1075,40.02,7.10
1076,40.14,7.20
1077,40.08,7.21
1078,40.06,7.11
1079,40.20,7.22
1080,40.09,7.17
1081,40.06,7.09
1082,40.17,7.16
1083,40.02,7.21
1084,40.05,7.15
1085,40.13,7.23
1086,40.01,7.21
1087,40.03,7.15
1088,40.10,7.24
1089,40.06,7.13
1090,40.20,6.48
1091,40.19,6.12
1092,40.16,5.51
1093,40.17,5.71
1094,40.15,6.01
1095,40.14,5.58
1096,40.13,5.81
1097,40.12,5.73
1098,40.16,5.75
1099,40.14,5.94
1100,40.11,5.81
1101,40.04,5.70
1102,40.13,5.69
1103,40.12,5.68
1104,40.12,5.89
1105,40.17,6.19
1106,40.12,6.10
